project_name,debian_source,debian_version,debian_desc,debian_home,CVE_since_2010,CVE_page,openhub_page,openhub_name,openhub_desc,openhub_home,openhub_download,twelve_month_contributor_count,total_contributor_count,total_code_lines,main_language_name,licenses,fact_activity,fact_age,fact_comments,fact_team_size,package_popularity,implemented_in,role,direct_network_exposure,process_network_data,potential_privilege_escalation,risk_index(max = 15),risk_index components,comment_on_priority
libexpat1,expat,2.1.0-1+deb7u1,XML parsing C library - runtime library,http://expat.sourceforge.net,5,https://security-tracker.debian.org/tracker/source-package/expat,https://www.openhub.net/projects/expat,Expat XML Parser,"Expat is a fast, non-validating, stream-oriented XML parsing library.",http://expat.sourceforge.net,http://sourceforge.net/project/showfiles.php?group_id=10127,0,10,22710,C,mit,Stable Y-O-Y development activity,"Mature, well-established codebase",Very few source code comments,No recent development activity,174625,c,shared-lib,0,1,0,13,"Website points: 0, CVE: 3, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 1 , Data only: 0","Parses potentially-dangerous data. This is an XML parser library written in C. Maintenance appears to have effectively halted after its 2012 release. Project at: http://www.libexpat.org/ (It was at, http://expat.sourceforge.net/ and its movement is not obvious, so some may be using an older version; this was follow-on from James Clark's original Expat). On 24 March 2012 Expat 2.1.0 released, it includes security vulnerability fixes for 5 CVEs; Previous release was 2007. ""Bug reports"" produces error page - tracking does not seem to work.  No public mailing list. CVS browsing suggests little or no activity after 2012 (and little before that). Many systems build on top of this library. Note that this doesn't support XML 1.1. +++"
procmail,,3.22-20+deb7u1,Versatile e-mail processor,http://www.procmail.org/,2,https://security-tracker.debian.org/tracker/source-package/procmail,https://www.openhub.net/projects/8853,procmail,"Procmail can be used to create mail-servers, mailing lists, sort your incoming mail into separate folders/files (real convenient when subscribing to one or more mailing lists or for prioritising your mail), preprocess your mail, start any programs upon mail arrival (e.g. to generate different chimes on your workstation for different types of mail) or selectively forward certain incoming mail automatically to someone.",http://www.procmail.org/,http://www.procmail.org/,0,4,15536,C,artistic gpl,Stable Y-O-Y development activity,"Mature, well-established codebase",Very few source code comments,No recent development activity,153379,c,program,1,0,0,13,"Website points: 0, CVE: 2, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","Processes email passed in, so it does process untrusted data from the network."
unzip,,6.0-8,De-archiver for .zip files,http://www.info-zip.org/UnZip.html,5,https://security-tracker.debian.org/tracker/source-package/unzip,https://www.openhub.net/projects/infozip,Zip & Unzip,,http://www.info-zip.org/,,0,2,878,C,BSD-3-Clause,Stable Y-O-Y development activity,"Young, but established codebase",Average number of code comments,No recent development activity,137931,c,program,0,1,0,13,"Website points: 0, CVE: 3, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 1 , Data only: 0","Widely-used format that is decompressed and provided by attackers. HAS Home Page, Can Download Binaries, NO issue tracker. +++"
bsd-mailx,,8.1.2-0.20111106cvs-1,simple mail user agent,,1,https://security-tracker.debian.org/tracker/source-package/bsd-mailx,https://www.openhub.net/projects/nail,mailx,"Heirloom mailx (previously known as nail) is a mail user agent (MUA) for Unix systems. 

Highlights are:

    * Derived from Berkeley Mail 8.1. An interface like the original Berkeley one is still optionally available.

    * Is a free implementation of the System V mailx command and features an interface like that by default.",http://heirloom.sourceforge.net/mailx.html,http://sourceforge.net/project/showfiles.php?group_id=106236&package_id=182246,0,1,29957,C,BSD-3-Clause common_development_and_distribution gpl lgpl zlib_libpng,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,No recent development activity,151075,c,program,1,0,0,12,"Website points: 0, CVE: 1, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","This does take data from untrusted sources, but many systems won't actively use it (there are many mail clients)."
libc-bin,eglibc,2.13-38+deb7u6,Embedded GNU C Library: Binaries,http://www.eglibc.org,47,https://security-tracker.debian.org/tracker/source-package/eglibc,https://www.openhub.net/projects/eglibc,EGLIBC,"Embedded GLIBC (EGLIBC) is a variant of the GNU C Library (GLIBC)  that is designed to work well on embedded systems. EGLIBC strives to be source and binary compatible with GLIBC. EGLIBC's goals include reduced footprint, configurable components, better support for cross-compilation and cross-testing.",http://www.eglibc.org/,,0,12,1239262,C,,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,No recent development activity,168914,c,program,0,0,0,12,"Website points: 0, CVE: 3, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
libc-dev-bin,eglibc,2.13-38+deb7u6,Embedded GNU C Library: Development binaries,http://www.eglibc.org,47,https://security-tracker.debian.org/tracker/source-package/eglibc,https://www.openhub.net/projects/eglibc,EGLIBC,"Embedded GLIBC (EGLIBC) is a variant of the GNU C Library (GLIBC)  that is designed to work well on embedded systems. EGLIBC strives to be source and binary compatible with GLIBC. EGLIBC's goals include reduced footprint, configurable components, better support for cross-compilation and cross-testing.",http://www.eglibc.org/,,0,12,1239262,C,,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,No recent development activity,110459,c,program,0,0,0,12,"Website points: 0, CVE: 3, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
libc6,eglibc,2.13-38+deb7u6,Embedded GNU C Library: Shared libraries,http://www.eglibc.org,47,https://security-tracker.debian.org/tracker/source-package/eglibc,https://www.openhub.net/projects/eglibc,EGLIBC,"Embedded GLIBC (EGLIBC) is a variant of the GNU C Library (GLIBC)  that is designed to work well on embedded systems. EGLIBC strives to be source and binary compatible with GLIBC. EGLIBC's goals include reduced footprint, configurable components, better support for cross-compilation and cross-testing.",http://www.eglibc.org/,,0,12,1239262,C,,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,No recent development activity,175713,c,shared-lib,0,0,0,12,"Website points: 0, CVE: 3, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
libc6-dev,eglibc,2.13-38+deb7u6,Embedded GNU C Library: Development Libraries and Header Files,http://www.eglibc.org,47,https://security-tracker.debian.org/tracker/source-package/eglibc,https://www.openhub.net/projects/eglibc,EGLIBC,"Embedded GLIBC (EGLIBC) is a variant of the GNU C Library (GLIBC)  that is designed to work well on embedded systems. EGLIBC strives to be source and binary compatible with GLIBC. EGLIBC's goals include reduced footprint, configurable components, better support for cross-compilation and cross-testing.",http://www.eglibc.org/,,0,12,1239262,C,,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,No recent development activity,114278,c,devel-lib,0,0,0,12,"Website points: 0, CVE: 3, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
libjpeg8,,8d-1+deb7u1,Independent JPEG Group's JPEG runtime library,,2,https://security-tracker.debian.org/tracker/source-package/libjpeg8,https://www.openhub.net/projects/libjpeg,libjpeg,A widely used free library for JPEG image compression.,http://www.ijg.org,http://www.ijg.org,0,5,58006,C,IJG,Stable Y-O-Y development activity,Well-established codebase,Very well-commented source code,No recent development activity,89506,c,shared-lib,0,1,0,12,"Website points: 0, CVE: 2, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 1 , Data only: 0","Widely-used format that is decompressed and provided by attackers. HAS Home Page, Can download as tarball, NO issue tracker, latest version/activity Jan 2014, NO mailing list +++"
libpcre3,pcre3,1:8.30-5,Perl 5 Compatible Regular Expression Library - runtime files,,6,https://security-tracker.debian.org/tracker/source-package/pcre3,https://www.openhub.net/projects/pcre,PCRE,"The PCRE (Perl Compatible Regular Expressions) library is a set of functions that implement regular expression pattern matching using the same syntax and semantics as Perl 5. PCRE has its own native API, as well as a set of wrapper functions that correspond to the POSIX regular expression API. The PCRE library is free, even for building commercial software.",http://www.pcre.org/,,2,4,96755,C,BSD-3-Clause,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,Small development team,174907,c,shared-lib,0,1,0,12,"Website points: 0, CVE: 3, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 1 , Data only: 0","Regexes are widely used for security-relevant input validation. Has Home page, Bug Tracker http://bugs.exim.org/buglist.cgi?product=PCRE NOT very active, public repo http://sourceforge.net/projects/pcre/files/ ++"
